round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Rob Robinsky,15,19,-19,,
1,L,Rob Robinsky,402,479,-479,,
1,L,Rob Robinsky,402,479,-479,,
2,W,Ben Schoenbrun,491,397,-397,,
3,L,Norases Vesdapunt,305,565,-565,,
4,L,Ishika Shivalingaiah,408,464,-464,,
5,L,Samson Okosagah,417,454,-454,,
6,L,Harshan Lamabadusuriya,431,499,-499,,
7,W,Gerry Carter,513,460,-460,,
8,L,Mike Baron,456,458,-458,,
9,W,William Kang,435,379,-379,,
10,L,Apirat Choomai,364,531,-531,,
11,W,Thomson Law,520,482,-482,,
12,W,Waseem Khatri,455,498,-498,,
14,W,Siddharth Nithyanand,580,349,-349,,
15,L,Sherwin Rodrigues,360,556,-556,,
16,L,Marlon Prudencio,334,482,-482,,
17,W,Ishika Shivalingaiah 2,465,383,-383,,
19,W,Gerry Carter 2,755,303,-303,,
20,L,Doko Oluwatimilehin,415,419,-419,,
21,W,Anthony Ikolo,502,318,-318,,
22,W,Edward Okulicz,519,450,-450,,
23,L,Natthakorn Siriwatthanaphongsa,411,454,-454,,
24,W,Vannitha Balasingam,461,388,-388,,
25,W,Dean Saldanha,415,396,-396,,
26,W,Russell Honeybun,499,390,-390,,
27,L,Odette Rio,391,491,-491,,
28,W,David Webb,362,468,-468,,
29,L,Jakkrit Klaphajone,353,453,-453,,
30,L,Suyash Manchali,414,423,-423,,
31,L,Rob Robinsky 2,387,501,-501,,
32,L,Apirat Choomai 2,368,380,-380,,
33,W,CharnwitI Iamudom,534,392,-392,,
34,W,Euclid Hui,456,367,-367,,
35,L,Rik Kennedy,386,425,-425,,
36,W,Apirat Choomai 3,392,372,-372,,
