round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Alexander Gozali,353,430,-77,,
1,L,Alexander Gozali,353,430,-77,,
2,L,CharnwitS Sukhumrattanaporn,494,508,-14,,
3,W,Apirat Choomai,443,398,45,,
4,W,Thitipol Barameemuang,476,461,15,,
5,L,Irfan Siddiqui,357,499,-142,,
6,L,Lukeman Owolabi,439,500,-61,,
7,W,Nuti Suri,526,389,137,,
8,W,Anthony Ikolo,464,377,87,,
9,L,Vannitha Balasingam,390,517,-127,,
10,W,CharnwitI Iamudom,456,379,77,,
11,W,Ming Hui Hubert Wee,431,429,2,,
12,L,Aditya Iyengar,403,493,-90,,
13,L,Charles Carneiro,320,546,-226,,
14,L,Jason Carney,426,494,-68,,
15,W,Waseem Khatri,398,460,-62,,
16,W,Michael Gongolo,422,421,1,,
17,L,Sujana Somasekar,368,473,-105,,
18,W,Natthakorn Siriwatthanaphongsa,482,424,58,,
19,L,Marlon Prudencio,381,438,-57,,
20,W,Rasheed Balogun,482,420,62,,
21,W,Unknown,,,,,
22,W,Rik Kennedy,477,442,35,,
23,L,Doko Oluwatimilehin,363,510,-147,,
24,W,Russell Honeybun,471,344,127,,
25,W,Sujana Somasekar 2,398,397,1,,
26,W,Jason Carney 2,479,475,4,,
27,L,Siu Hean Cheah,412,501,-89,,
28,L,Jimoh Abdulmumin,359,597,-238,,
29,L,Udayan Grover,367,406,-39,,
30,W,Pesol Kosalakood,365,354,11,,
31,L,Trevor Halsall,356,567,-211,,
32,L,Samuel Crispin,421,443,-22,,
33,L,Puttapong Moonsarn,400,585,-185,,
34,W,Pesol Kosalakood 2,439,385,54,,
35,L,Lukeman Owolabi 2,374,548,-174,,
36,W,Euclid Hui,456,424,32,,
