round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Natthakorn Siriwatthanaphongsa,398,526,-526,,http://woogles.io/anno/33y99SZb226TRtehH7NsAA
1,L,Natthakorn Siriwatthanaphongsa,398,526,-526,,
2,W,Orlet Bullock,494,331,-331,,
3,L,Edward Okulicz,372,471,-471,,
4,L,Nigel Richards,420,437,-437,,
5,W,Ryan Wee,454,417,-417,,
6,L,Brian Po,418,496,-496,,
7,W,Samuel Crispin,430,374,-374,,
8,L,Siu Hean Cheah,441,542,-542,,
9,L,Pesol Kosalakood,424,436,-436,,
10,W,Siddharth Nithyanand,410,323,-323,,
11,L,Euclid Hui,407,445,-445,,
12,W,Chock Heng Kong,472,450,-450,,
13,W,Unknown,407,407,-407,,
14,W,Samuel Crispin 2,422,361,-361,,
15,L,Suyash Manchali,444,601,-601,,
16,W,Lukeman Owolabi,410,344,-344,,
17,L,Rob Robinsky,438,492,-492,,
18,L,Austin Shin,364,442,-442,,
19,W,Sujana Somasekar,445,401,-401,,
20,L,Ishika Shivalingaiah,354,467,-467,,
21,W,Ishika Shivalingaiah 2,508,402,-402,,
22,W,Lukeman Owolabi 2,456,406,-406,,
23,W,Sujana Somasekar 2,491,426,-426,,
24,W,Euclid Hui 2,495,361,-361,,
25,W,Suyash Manchali 2,471,453,-453,,
26,W,Waseem Khatri,491,429,-429,,
27,W,Ming Hui Hubert Wee,502,371,-371,,
28,W,Josh Watt,410,414,-414,,
29,W,Kian Boon Liew,425,344,-344,,
30,W,Komol Panyasophonlert,498,489,-489,,http://woogles.io/anno/33y99SZb226TRtehH7NsAA
31,W,Brian Po 2,508,407,-407,,
32,W,Michael Gongolo,426,405,-405,,
33,L,Aditya Iyengar,421,432,-432,,
34,L,Brian Po 3,468,474,-474,,
35,W,Alexander Gozali,519,342,-342,,
36,W,Brian Po 4,526,359,-359,,
