round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Michael Gongolo,387,420,-33,,
1,L,Michael Gongolo,387,420,-33,,
2,W,Nopparuj Tipkaew,542,472,70,,
3,W,Orlet Bullock,476,443,33,,
4,L,Rasheed Balogun,372,543,-171,,
5,L,David Eldar,344,523,-179,,
6,W,Akegapun Erbprasartsook,481,357,124,,
7,L,Samson Okosagah,374,430,-56,,
8,L,Jesse Day,375,518,-143,,
9,W,David Webb,399,408,-9,,
10,L,Ishika Shivalingaiah,315,524,-209,,
11,W,Thitipol Barameemuang,438,389,49,,
12,W,Sanjoy Gupta,571,475,96,,
13,L,Orlet Bullock 2,328,516,-188,,
14,L,Samson Okosagah 2,361,422,-61,,
15,L,Doko Oluwatimilehin,349,472,-123,,
16,L,Sujana Somasekar,368,464,-96,,
17,L,Marlon Prudencio,423,477,-54,,
18,L,Mike Baron,406,437,-31,,
19,W,William Kang,307,487,-180,,
20,W,J Jeyaseelan,411,357,54,,
21,W,Thitipol Barameemuang 2,526,365,161,,
22,L,Siddharth Nithyanand,409,463,-54,,
23,W,Gerry Carter,460,418,42,,
24,W,Mike Baron 2,412,361,51,,
25,W,Charae Worapotpisut,487,416,71,,
26,W,Chock Heng Kong,412,366,46,,
27,W,Rik Kennedy,551,399,152,,
28,W,Nopparuj Tipkaew 2,504,390,114,,
29,L,Vannitha Balasingam,426,431,-5,,
30,W,Norases Vesdapunt,450,430,20,,
31,W,Vannitha Balasingam 2,448,379,69,,
32,W,Samrath Singh Bhatia,443,421,22,,
33,W,David Webb 2,396,411,-15,,
34,L,Odette Rio,421,481,-60,,
35,W,Puttapong Moonsarn,498,333,165,,
36,W,Irfan Siddiqui,440,431,9,,
