round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Napat Vatjaranurathorn,379,483,-104,,https://woogles.io/anno/mv8nRR2YToburhetEMQT8L
1,L,Napat Vatjaranurathorn,379,483,-104,,https://woogles.io/anno/mv8nRR2YToburhetEMQT8L
2,L,Alexander Gozali,434,493,-59,,
3,L,Piotr Andronowski,445,496,-51,,
4,W,Mike Baron,498,348,150,,
5,W,Orlet Bullock,455,387,68,,
6,L,Jack Moran,464,489,-25,,
7,L,Euclid Hui,426,447,-21,,
8,W,Sanjoy Gupta,491,437,54,,
9,L,Chock Heng Kong,373,463,-90,,
10,W,Charae Worapotpisut,406,403,3,,
11,W,Chock Heng Kong 2,521,411,110,,
12,W,Charae Worapotpisut 2,494,402,92,,
13,W,Dean Saldanha,465,408,57,,
14,L,Siu Hean Cheah,424,426,-2,,
15,W,Odette Rio,440,404,36,,
16,W,Jimoh Abdulmumin,422,366,56,,
17,L,CharnwitS Sukhumrattanaporn,411,442,-31,,
18,L,Unknown,363,434,-71,,
19,W,Ming Hui Hubert Wee,436,488,-52,,
20,L,Ricky Purnomo,419,496,-77,,
21,W,Chock Heng Kong 3,488,388,100,,
22,L,Sujana Somasekar,419,468,-49,,
23,W,Euclid Hui 2,531,317,214,,
24,W,Sanjoy Gupta 2,410,393,17,,
25,W,David Webb,394,414,-20,,
26,W,Odette Rio 2,414,330,84,,
27,L,Pesol Kosalakood,449,459,-10,,
28,L,Unknown,418,454,-36,,
29,W,Ezinore George,489,417,72,,
30,W,Trevor Halsall,442,401,41,,
31,W,Weibin Toh,464,375,89,,
32,W,Ricky Purnomo 2,464,374,90,,
33,L,Austin Shin,358,472,-114,,
34,W,Sherwin Rodrigues,559,351,208,,
35,W,Josh Watt,398,461,-63,,
36,W,Suyash Manchali,486,380,106,,
