round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Sherwin Rodrigues,365,495,-130,,
1,L,Sherwin Rodrigues,365,495,-130,,
2,L,Komol Panyasophonlert,402,454,-52,,
3,L,Harshan Lamabadusuriya,379,437,-58,,
4,W,Waseem Khatri,349,613,-264,,
5,W,Apirat Choomai,435,398,37,,
6,W,Thitipol Barameemuang,458,302,156,,
7,L,Ezinore George,304,467,-163,,
8,L,Sanhanat Klanying,437,491,-54,,
9,L,Nuti Suri,382,475,-93,,
10,W,William Kang,470,399,71,,
11,L,Nuti Suri 2,307,394,-87,,
12,L,Samuel Crispin,475,571,-96,,
13,W,Thitipol Barameemuang 2,568,358,210,,
14,W,William Kang 2,445,468,-23,,
15,L,Norases Vesdapunt,310,478,-168,,
16,W,Thomson Law,451,384,67,,
17,W,Apirat Choomai 2,401,363,38,,
18,W,Siddharth Nithyanand,447,303,144,,
20,L,Akegapun Erbprasartsook,431,449,-18,,
21,W,Apirat Choomai 3,432,425,7,,
22,W,Orlet Bullock,525,355,170,,
23,W,William Kang 3,389,465,-76,,
24,L,Sanhanat Klanying 2,393,410,-17,,
25,L,Norases Vesdapunt 2,375,489,-114,,
26,W,Charae Worapotpisut,490,413,77,,
27,L,Chock Heng Kong,402,452,-50,,
28,W,Ishika Shivalingaiah,434,393,41,,
29,L,Rik Kennedy,372,423,-51,,
30,L,Anthony Ikolo,394,549,-155,,
31,L,Orlet Bullock 2,428,439,-11,,
32,W,Edward Okulicz,414,371,43,,
33,W,Orlet Bullock 3,434,393,41,,
34,L,Ishika Shivalingaiah 2,397,514,-117,,
35,W,Chock Heng Kong 2,431,383,48,,
36,W,CharnwitI Iamudom 2,539,395,144,,
