round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Sanjoy Gupta,495,365,-365,,
1,W,Sanjoy Gupta,495,365,-365,,
2,L,Unknown,491,509,-509,,
3,L,Rik Kennedy,339,357,-357,,
4,W,Michael Gongolo,446,442,-442,,
5,L,Euclid Hui,475,494,-494,,
6,W,Ming Hui Hubert Wee,401,438,-438,,
7,L,Lukeman Owolabi,416,432,-432,,
8,W,Charae Worapotpisut,466,475,-475,,
9,L,Siu Hean Cheah,426,465,-465,,
10,W,Mike Baron,556,375,-375,,
11,W,Gerry Carter,448,353,-353,,
12,W,Thitipol Barameemuang,500,351,-351,,
13,L,Nuti Suri,395,499,-499,,
14,L,Lukeman Owolabi 2,323,495,-495,,
15,W,Ryan Wee,556,360,-360,,
16,L,Doko Oluwatimilehin,376,460,-460,,
17,W,Orlet Bullock,495,373,-373,,
18,L,Ishika Shivalingaiah,458,497,-497,,
19,W,Chock Heng Kong,480,366,-366,,
20,W,Unknown,,,+100,,
21,L,Natalie Zolty,334,505,-505,,
22,W,Jack Moran,502,411,-411,,
23,W,Vannitha Balasingam,530,456,-456,,
24,W,Doko Oluwatimilehin 2,408,402,-402,,
25,W,Odette Rio,469,362,-362,,
26,L,Sujana Somasekar,387,506,-506,,
27,W,Jason Carney,543,493,-493,,
28,W,Suyash Manchali,570,343,-343,,
29,L,Unknown,453,518,-518,,
30,W,Soramet Mettaviharee,386,378,-378,,
31,W,Soramet Mettaviharee 2,529,326,-326,,
32,L,Brian Po,434,534,-534,,
33,L,Alexander Gozali,341,500,-500,,
34,L,Sanhanat Klanying,351,559,-559,,
35,L,Rob Robinsky,444,492,-492,,
36,W,Kian Boon Liew,458,414,-414,,
