round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,David Eldar,434,475,-41,https://youtu.be/cse0kfEPDio?si=GI3DRVGxZkDqA_xs,https://woogles.io/anno/dSdarPSBbWMs7TD6oQuMQ7
1,L,David Eldar,434,475,-41,https://youtu.be/cse0kfEPDio?si=GI3DRVGxZkDqA_xs,https://woogles.io/anno/dSdarPSBbWMs7TD6oQuMQ7
2,W,Waseem Khatri,433,426,7,,
3,L,Rasheed Balogun,441,495,-54,,
4,L,Trevor Halsall,387,502,-115,,https://woogles.io/anno/PgXgzeZAXzEDjR28CcgWrY
5,W,Brian Po,460,437,23,,
6,L,Kian Boon Liew,327,481,-154,,
7,L,Nopparuj Tipkaew,451,519,-68,,
8,W,Nuti Suri,442,427,15,,
9,L,Ezinore George,477,522,-45,,
10,L,Samson Okosagah,323,410,-87,,
11,W,Waseem Khatri 2,339,455,-116,,
12,W,Nuti Suri 2,446,369,77,,
13,W,William Kang,434,406,28,,
14,W,Ryan Wee,349,580,-231,,
15,L,Jack Moran,362,557,-195,,
16,L,Chock Heng Kong,435,586,-151,,
17,W,Charae Worapotpisut,382,389,-7,,
18,L,Sanjoy Gupta,303,447,-144,,
19,L,Apirat Choomai,360,362,-2,,
20,W,Mike Baron,528,278,250,,
21,L,Thomson Law,409,461,-52,,
22,W,Samuel Crispin,463,409,54,,
23,W,Unknown,,,,,
24,L,J Jeyaseelan,425,466,-41,,
25,L,Mike Baron 2,386,488,-102,,
26,L,Thitipol Barameemuang,457,503,-46,,
27,L,Orlet Bullock,366,519,-153,,
28,L,Apirat Choomai 2,361,442,-81,,
29,W,Gerry Carter,528,328,200,,
30,L,Rik Kennedy,263,585,-322,,
31,W,Mike Baron 3,438,416,22,,
32,W,Mike Baron 4,607,358,249,,
33,W,Unknown,,,,,
34,L,Chock Heng Kong 2,396,420,-24,,
35,L,J Jeyaseelan 2,343,490,-147,,
