round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Jakkrit Klaphajone,415,492,-77,,
1,L,Jakkrit Klaphajone,415,492,-77,,
2,W,Jack Moran,480,414,66,,
3,L,Euclid Hui,323,514,-191,,
4,L,Nuti Suri,364,459,-95,,
5,W,David Webb,403,318,85,,
6,W,Charae Worapotpisut,409,547,-138,,
7,L,Jason Keller,393,428,-35,,
8,W,Samson Okosagah,542,441,101,,
9,W,Sherwin Rodrigues,465,426,39,,
10,W,Marlon Prudencio,526,420,106,,
11,W,Harshan Lamabadusuriya,416,397,19,,
12,L,Akegapun Erbprasartsook,427,520,-93,,
13,W,Panupol Sujjayakorn,482,420,62,,
14,W,Sanhanat Klanying,426,424,2,,
15,L,Piotr Andronowski,418,515,-97,,
16,L,Soramet Mettaviharee,439,491,-52,,
17,W,Jason Carney,490,354,136,,
18,W,Ezinore George,463,358,105,,
19,W,Waseem Khatri,364,449,-85,,
20,L,Russell Honeybun,453,493,-40,,
21,W,Charles Carneiro,490,418,72,,
22,L,Harshan Lamabadusuriya 2,413,485,-72,,
23,W,Michael Gongolo,493,363,130,,
24,W,Udayan Grover,426,372,54,,
25,L,Puttapong Moonsarn,398,481,-83,,
26,L,Unknown,271,548,-277,,
27,W,Samrath Singh Bhatia,501,412,89,,
28,W,Sujana Somasekar,445,426,19,,
29,L,Jimoh Abdulmumin,428,439,-11,,
30,W,David Webb 2,527,445,82,,
31,W,CharnwitS Sukhumrattanaporn,529,338,191,,
32,W,Irfan Siddiqui,465,383,82,,
33,L,Andrew Fisher,405,445,-40,,
34,W,Piotr Andronowski 2,364,352,12,,
35,L,Unknown,429,441,-12,,
36,L,Unknown,384,464,-80,,
