round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Apirat Choomai,428,424,4,,https://woogles.io/anno/c8obbDMhrq89AZkPM8wEkc
1,W,Apirat Choomai,428,424,4,,
2,L,Thomson Law,400,421,-21,,
3,W,Jakkrit Klaphajone,473,424,49,,
4,W,Lukeman Owolabi,446,370,76,,
5,L,Akegapun Erbprasartsook,368,424,-56,,https://woogles.io/anno/c8obbDMhrq89AZkPM8wEkc
6,L,Puttapong Moonsarn,341,430,-89,,https://woogles.io/anno/JsFQaqzeydkiuGGQwdXcy2
7,W,Komol Panyasophonlert,472,375,97,,
8,W,Austin Shin,430,325,105,,
9,W,Jesse Day,492,379,113,,
11,W,Trevor Halsall,497,401,96,,
12,L,Darren Khoo,387,505,-118,,
13,W,Dave Wiegand,476,534,-58,,http://woogles.io/anno/e8TjcYPA8iTheR3qqzu2wi
14,W,Weibin Toh,361,415,-54,,http://woogles.io/anno/7K2s8HDEhMUzW6ydhj8r7v
15,W,Jesse Day 2,481,379,102,,
16,W,Siu Hean Cheah,491,439,52,,
17,W,Charles Carneiro,409,369,40,,
18,W,Harshan Lamabadusuriya,462,353,109,,
19,W,Kian Boon Liew,379,346,33,,
20,L,Ben Schoenbrun,392,395,-3,,http://woogles.io/anno/AobrAokugyhZPaNMQ8quLe
21,L,Andrew Fisher,290,486,-196,,http://woogles.io/anno/LraNyyGXjNyXuVf9wYDnbU
22,W,Irfan Siddiqui,475,380,95,,http://woogles.io/anno/FZszBDbQGid2XxHf8uPLWh
23,L,Ben Schoenbrun 2,389,582,-193,,
24,L,David Eldar,414,509,-95,,http://woogles.io/anno/PDsLEGAfcdeCEskWYC3r7E
25,L,Michael Gongolo,418,455,-37,,
26,W,Weibin Toh 2,457,449,8,,
27,L,Natalie Zolty,300,477,-177,,
28,W,Alexander Gozali 2,554,396,158,,
29,W,Ming Hui Hubert Wee,459,448,11,,
30,L,Sherwin Rodrigues,378,386,-8,,
31,L,Sherwin Rodrigues 2,326,529,-203,,
32,L,Alexander Gozali 3,430,478,-48,,
33,W,Suyash Manchali,464,327,137,,
34,W,Kian Boon Liew 2,487,405,82,,
35,W,Ming Hui Hubert Wee 2,417,380,37,,
36,L,Alexander Gozali 4,268,541,-273,,
