round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Puttapong Moonsarn,437,467,-30,,
1,L,Unknown,437,467,-30,,
2,L,Puttapong Moonsarn,371,565,-194,,
3,W,Thitipol Barameemuang,454,390,64,,
4,W,Jason Carney,468,335,133,,
5,L,Charles Carneiro,349,432,-83,,
6,W,Austin Shin,458,407,51,,
7,W,CharnwitI Iamudom,508,402,106,,
8,L,Ben Schoenbrun,467,497,-30,,
9,L,Ricky Purnomo,443,455,-12,,
10,W,Aditya Iyengar,408,328,80,,
11,L,Rik Kennedy,347,533,-186,,
12,L,Dean Saldanha,409,472,-63,,
13,L,Pesol Kosalakood,405,498,-93,,
14,L,Anthony Ikolo,419,436,-17,,
15,W,J Jeyaseelan,428,427,1,,
16,W,Samuel Crispin,464,368,96,,
17,W,Samrath Singh Bhatia,473,368,105,,
18,W,Akegapun Erbprasartsook,428,409,19,,
19,L,Samson Okosagah,401,445,-44,,
20,L,Jesse Day,436,520,-84,,
21,W,Marlon Prudencio,424,368,56,,
22,W,Sanhanat Klanying,468,419,49,,
23,L,Samson Okosagah 2,426,491,-65,,
24,W,Pesol Kosalakood 2,479,351,128,,
25,L,Samrath Singh Bhatia 2,397,398,-1,,
26,W,Sherwin Rodrigues,506,387,119,,
27,L,Akegapun Erbprasartsook 2,379,537,-158,,
28,L,Siu Hean Cheah,426,445,-19,,
29,L,Charles Carneiro 2,465,502,-37,,
30,W,Vannitha Balasingam,526,381,145,,
31,W,Norases Vesdapunt,403,374,29,,
32,W,Weibin Toh,436,495,-59,,
33,W,Marlon Prudencio 2,511,297,214,,
34,L,Rob Robinsky,357,561,-204,,
35,L,Marlon Prudencio 3,419,540,-121,,
36,L,Norases Vesdapunt 2,350,445,-95,,
