round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Piotr Andronowski,402,372,30,,https://woogles.io/anno/Ziq36fvsejeLvuJtC69FZ5
1,W,Piotr Andronowski,402,372,30,,
2,W,Anthony Ikolo,518,359,159,,
3,L,Napat Vatjaranurathorn,378,465,-87,,
4,L,Komol Panyasophonlert,421,543,-122,,
5,W,Unknown,471,422,49,,
6,W,J Jeyaseelan,560,339,221,,
7,L,Charles Carneiro,410,454,-44,,
8,W,Weibin Toh,484,477,7,,
9,W,Akegapun Erbprasartsook,459,457,2,,
10,L,Trevor Halsall,350,589,-239,,https://woogles.io/anno/Ziq36fvsejeLvuJtC69FZ5
11,L,Madhav Gopal Kamath,366,567,-201,,
12,L,Piotr Andronowski 2,393,420,-27,,
13,L,Chaiyottha Manachaisit,282,529,-247,,
15,W,Samson Okosagah,601,444,157,,
16,W,Austin Shin,427,394,33,,
17,L,Alexander Gozali,463,521,-58,,
18,L,Trevor Halsall 2,359,370,-11,,
19,W,Udayan Grover,487,391,96,,
20,W,Waseem Khatri,458,400,58,,
21,W,Waseem Khatri 2,397,331,66,,
22,L,Charles Carneiro 2,360,500,-140,,
23,W,Ming Hui Hubert Wee,494,442,52,,
24,L,Natalie Zolty 2,410,444,-34,,
25,L,Samson Okosagah 2,453,471,-18,,
26,W,Trevor Halsall 3,425,416,9,,
27,W,William Kang,370,595,-225,,
28,L,Sherwin Rodrigues,343,570,-227,,
29,L,Austin Shin 2,389,423,-34,,
30,W,Ryan Wee,423,414,9,,
31,W,Charles Carneiro 3,476,268,208,,
32,W,William Kang 2,489,436,53,,
33,L,Soramet Mettaviharee,327,464,-137,,
34,W,William Kang 3,472,371,101,,
35,W,Kian Boon Liew,465,429,36,,
36,L,Sanhanat Klanying,380,486,-106,,
