round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Jason Carney,459,414,-414,https://youtu.be/iBKn0rm31u0?si=qHToJFy39bv_HGBf,https://woogles.io/anno/75TSE5bCdVjKehR5QVGkeR
1,W,Jason Carney,459,414,-414,,
2,W,Jesse Day,528,411,-411,,
3,W,Charles Carneiro,449,443,-443,,https://woogles.io/anno/75TSE5bCdVjKehR5QVGkeR
4,L,David Eldar,407,420,-420,,https://woogles.io/anno/8HZVcNVMh2pRETzjUnTykF
5,W,Dave Wiegand,433,503,-503,https://youtu.be/iBKn0rm31u0?si=qHToJFy39bv_HGBf,https://woogles.io/anno/KBBicQijGqo6oK9E53xBmj
6,W,Norases Vesdapunt,507,362,-362,,
7,W,Jakkrit Klaphajone,485,370,-370,,
8,L,Nigel Richards,405,444,-444,,
9,L,Joshua Castellano,380,459,-459,,https://woogles.io/anno/JLhyNWwAZAmc4vkHoWedYd
10,W,Russell Honeybun,450,397,-397,,https://woogles.io/anno/CRbyKJC57on2BteZhbUhBu
11,W,Irfan Siddiqui,540,417,-417,,
12,W,Joshua Castellano 2,420,415,-415,,
13,W,Rasheed Balogun,472,468,-468,,
14,L,Madhav Gopal Kamath,405,454,-454,,http://woogles.io/anno/7GRqteaSNDVivdnVFhxrPZ
15,W,Brian Po,516,410,-410,,
16,L,Akshay Bhandarkar,450,463,-463,,http://woogles.io/anno/N6GBfCoMkW8AsjtR92AG2D
17,W,Puttapong Moonsarn,460,312,-312,,http://woogles.io/anno/6DUb8gjaV4ukCnq5jno5tt
18,W,Komol Panyasophonlert,503,455,-455,,http://woogles.io/anno/ixC5LpCn3WY7R3u4JY87rr
19,W,Josh Watt,442,454,-454,,http://woogles.io/anno/gL7WZDsdpAjpUDPd8vjVZh
20,W,Napat Vatjaranurathorn,426,401,-401,,http://woogles.io/anno/QLXSjBbcK7wUBEsLS96qzz
21,L,Brian Po 2,417,611,-611,,http://woogles.io/anno/Nf9Ce9aCWneH8oTTkfG42C
22,W,Napat Vatjaranurathorn 2,450,328,-328,,http://woogles.io/anno/hdjpb4HBEenmTF23e4nWCi
23,W,Unknown,463,463,-463,,http://woogles.io/anno/GGqbh7NGNBjk4UTZvC6Bt7
24,W,Panupol Sujjayakorn,428,412,-412,,http://woogles.io/anno/cphvnok35t5GZ8vpWbsuAV
25,L,David Eldar 2,304,514,-514,https://www.youtube.com/watch?v=aUe7Dk9WBVM&pp=0gcJCR4LAYcqIYzv,http://woogles.io/anno/bxJVjoeytnhTRNfU7kCZVa
26,W,Dave Wiegand 2,394,388,-388,https://www.youtube.com/watch?v=BZ90P_1ChJY,http://woogles.io/anno/BSeLEyDvaNsVJTckZLU7En
27,W,Andrew Fisher,489,410,-410,,http://woogles.io/anno/BqUnoNFCjc7bNipLSvRB5G
28,W,Jason Keller,419,381,-381,https://www.youtube.com/watch?v=qo3CGwCF00I,http://woogles.io/anno/hCQNGMMRJbhF9rf3HKve8U
29,W,Madhav Gopal Kamath 2,614,428,-428,https://www.youtube.com/watch?v=vpn6u7UVsZM,http://woogles.io/anno/UXPNuPXTiSdHo4WXUbtZGa
30,W,Chaiyottha Manachaisit,457,342,-342,,http://woogles.io/anno/c2bMpyGN5CCTgFqSiYbcdZ
31,L,Madhav Gopal Kamath 3,422,448,-448,,
32,W,Dave Wiegand 3,394,523,-523,,
33,W,Harshan Lamabadusuriya,429,402,-402,,
34,W,Jason Keller 2,439,416,-416,,
35,L,Joshua Castellano 3,358,397,-397,,
36,L,Harshan Lamabadusuriya 2,351,514,-514,,
