round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Ricky Purnomo,317,425,-108,,https://woogles.io/anno/5NwBUcHxpcrB3vBRTpPv3N
1,L,Ricky Purnomo,317,425,-108,,
2,L,Natthakorn Siriwatthanaphongsa,388,491,-103,,https://woogles.io/anno/5NwBUcHxpcrB3vBRTpPv3N
3,L,Sujana Somasekar,390,454,-64,,
4,L,Samrath Singh Bhatia,461,476,-15,,
5,L,Jason Carney,293,454,-161,,
6,L,Sanjoy Gupta,302,458,-156,,
7,W,Mike Baron,455,389,66,,
8,L,Orlet Bullock,411,441,-30,,
9,W,Apirat Choomai,469,375,94,,
10,W,Doko Oluwatimilehin,512,384,128,,
11,L,Samuel Crispin,389,438,-49,,
12,L,Sherwin Rodrigues,351,500,-149,,
13,L,Sanjoy Gupta 2,358,568,-210,,
14,L,Doko Oluwatimilehin 2,403,543,-140,,
15,W,Mike Baron 2,412,336,76,,
16,L,Apirat Choomai 2,446,454,-8,,
17,W,William Kang,325,465,-140,,
18,W,J Jeyaseelan,518,356,162,,
19,L,Thomson Law,365,454,-89,,
20,W,Gerry Carter,624,378,246,,
21,L,Samuel Crispin 2,365,526,-161,,
22,L,Gerry Carter 2,369,544,-175,,
23,W,J Jeyaseelan 2,457,434,23,,
24,W,Unknown,,,,,
25,W,Thomson Law 2,413,382,31,,
26,W,Siddharth Nithyanand,503,457,46,,
27,W,Mike Baron 3,458,381,77,,
28,L,CharnwitI Iamudom,411,526,-115,,
29,L,Rasheed Balogun,363,485,-122,,
30,W,Edward Okulicz,438,394,44,,
31,W,Edward Okulicz 2,428,426,2,,
32,L,Ishika Shivalingaiah,394,423,-29,,
33,L,Jason Carney 2,379,404,-25,,
34,L,Natthakorn Siriwatthanaphongsa 2,394,466,-72,,
35,W,Russell Honeybun,468,390,78,,
36,L,Natthakorn Siriwatthanaphongsa 3,407,427,-20,,
