round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,J Jeyaseelan,15,21,-6,https://youtu.be/MpaE_7LSqRo?si=2vyV740GZ1cTReuD,https://woogles.io/anno/ZRuPiqziPEZJ8pKQa9wnPC
1,W,J Jeyaseelan,418,337,81,https://youtu.be/MpaE_7LSqRo?si=2vyV740GZ1cTReuD,https://woogles.io/anno/ZRuPiqziPEZJ8pKQa9wnPC
1,W,J Jeyaseelan,418,337,81,,
2,W,Soramet Mettaviharee,421,400,21,,
3,W,Odette Rio,466,357,109,,
4,W,Dave Wiegand,427,437,-10,https://youtu.be/MpaE_7LSqRo?si=2vyV740GZ1cTReuD,https://woogles.io/anno/ZRuPiqziPEZJ8pKQa9wnPC
5,L,Cameron Farlow,420,512,-92,https://youtu.be/Yaw_fTHhOJo?si=R_-YghRGw-xotqcf,https://woogles.io/anno/2492JHSutTUnTMWNSYdLRg
6,L,CharnwitS Sukhumrattanaporn,447,463,-16,,
7,L,Rik Kennedy,440,480,-40,,
8,W,Ming Hui Hubert Wee,454,493,-39,,
9,L,Unknown,356,446,-90,,
10,L,Udayan Grover,379,490,-111,,
11,W,Ryan Wee,482,520,-38,,
12,L,Gerry Carter,376,412,-36,,
13,W,CharnwitI Iamudom,417,380,37,,
14,L,Jack Moran,382,468,-86,,
15,W,Charae Worapotpisut,391,420,-29,,
16,L,Sanjoy Gupta,384,451,-67,,
17,L,Mike Baron,431,455,-24,,
18,W,William Kang,358,486,-128,,
19,W,Thitipol Barameemuang,454,365,89,,
20,L,Apirat Choomai,409,450,-41,,
21,W,Siddharth Nithyanand,461,409,52,,
22,L,J Jeyaseelan 2,450,509,-59,,
23,W,Mike Baron 2,445,404,41,,
24,W,Apirat Choomai 2,506,398,108,,
25,L,Thitipol Barameemuang 2,382,413,-31,,
26,L,Orlet Bullock,401,504,-103,,
27,W,Unknown,,,,,
28,W,Gerry Carter 2,445,365,80,,
29,W,Charae Worapotpisut 2,427,421,6,,
30,W,Unknown,,,,,
31,W,CharnwitI Iamudom 2,476,465,11,,
32,W,Rik Kennedy 2,444,443,1,,
33,W,Charae Worapotpisut 3,424,428,-4,,
34,L,Rik Kennedy 3,317,585,-268,,
35,W,Natthakorn Siriwatthanaphongsa,487,381,106,,
36,L,Charles Carneiro,432,455,-23,,
