round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Napat Vatjaranurathorn,432,472,-40,https://youtu.be/YgpA3qlOrFg?si=GpBzMwZIZDaselHP,https://woogles.io/anno/hK6zYHPrR8tWQq3yPjToeX
1,W,Unknown,,,,,
2,L,Napat Vatjaranurathorn,432,472,-40,,https://woogles.io/anno/hK6zYHPrR8tWQq3yPjToeX
3,W,Anthony Ikolo,577,261,316,,
4,W,Siddharth Nithyanand,502,387,115,,https://woogles.io/anno/PgXgzeZAXzEDjR28CcgWrY
5,W,Darren Khoo,494,447,47,,https://woogles.io/anno/XDtu4qg5KwRrgeNSGPes82
6,L,Natalie Zolty,378,467,-89,,https://woogles.io/anno/BezuJuXArmB5iSCPFoXfah
7,W,Rob Robinsky,446,413,33,https://youtu.be/YgpA3qlOrFg?si=GpBzMwZIZDaselHP,https://woogles.io/anno/erZbeydedQzQk8CgDpCmBX
8,L,Ricky Purnomo,340,424,-84,,https://woogles.io/anno/T6L3ALTGzWVbVL3UhNA6N9
9,L,Puttapong Moonsarn,437,494,-57,,https://woogles.io/anno/Huna36gNnoDArmDje2c7Wy
10,W,Suyash Manchali,589,350,239,,https://woogles.io/anno/Ziq36fvsejeLvuJtC69FZ5
11,L,Soramet Mettaviharee,401,497,-96,,
12,W,Austin Shin,448,370,78,,https://woogles.io/anno/RiwaTahqSFM54yoAxjTEgp
13,L,Piotr Andronowski,355,492,-137,,
14,L,Ricky Purnomo 2,367,485,-118,,
15,W,Natalie Zolty 2,442,435,7,,
16,L,Udayan Grover,365,478,-113,,
17,W,Ming Hui Hubert Wee,390,450,-60,,
18,W,Suyash Manchali 2,370,359,11,,
19,L,Vannitha Balasingam,323,508,-185,,
20,W,Lukeman Owolabi,460,457,3,,
21,L,Pesol Kosalakood,363,486,-123,,
23,W,Udayan Grover 2,423,364,59,,
24,W,Jason Carney,734,440,294,,
25,L,Natalie Zolty 3,425,483,-58,,
26,L,Suyash Manchali 3,416,425,-9,,
27,W,Waseem Khatri,406,439,-33,,
28,W,Ezinore George,394,356,38,,
29,W,Marlon Prudencio,477,308,169,,
30,L,Sanhanat Klanying,401,442,-41,,
31,W,Samrath Singh Bhatia,567,356,211,,
32,W,Waseem Khatri 2,372,509,-137,,
33,W,CharnwitS Sukhumrattanaporn,534,464,70,,
34,W,Waseem Khatri 3,502,330,172,,
35,W,Natalie Zolty 4,568,360,208,,
36,W,Ming Hui Hubert Wee 2,495,504,-9,,
