round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Harshan Lamabadusuriya,100,100,0,,https://woogles.io/anno/dW8XcshxUzAVKxVEkWh6Tg
1,L,Unknown,100,100,0,,
2,W,Harshan Lamabadusuriya,509,432,77,,
3,W,William Kang,441,565,-124,,
4,W,Marlon Prudencio,483,475,8,,
5,W,Charae Worapotpisut,607,255,352,,
6,L,Charles Carneiro,260,469,-209,,
7,L,Edward Okulicz,272,483,-211,,https://woogles.io/anno/dW8XcshxUzAVKxVEkWh6Tg
8,L,Pesol Kosalakood,356,386,-30,,
9,L,Jason Carney,393,437,-44,,
10,W,Thomson Law,490,379,111,,
11,W,Norases Vesdapunt,486,413,73,,
12,W,Marlon Prudencio 2,487,398,89,,
13,L,Euclid Hui,401,421,-20,,
14,W,Pesol Kosalakood 2,517,274,243,,
15,L,Edward Okulicz 2,425,454,-29,,
16,W,Trevor Halsall,478,365,113,,
17,L,Odette Rio,403,406,-3,,
18,L,Alexander Gozali,430,500,-70,,
19,L,Suyash Manchali,391,487,-96,,
20,W,Natalie Zolty,477,415,62,,
21,W,Ezinore George,500,416,84,,
22,W,Doko Oluwatimilehin,493,394,99,,
23,L,Trevor Halsall 2,364,423,-59,,
24,L,Siu Hean Cheah,372,426,-54,,
25,W,Russell Honeybun,437,372,65,,
26,W,Dean Saldanha,487,411,76,,
27,W,Jakkrit Klaphajone,432,357,75,,
28,W,Jason Carney 2,540,414,126,,
29,W,Samrath Singh Bhatia,406,367,39,,
30,L,Unknown,391,439,-48,,
31,W,Kian Boon Liew,427,412,15,,
32,L,Akshay Bhandarkar,336,478,-142,,
33,W,Cameron Farlow,483,380,103,,
34,L,Komol Panyasophonlert,377,475,-98,,
35,W,Darren Khoo,469,393,76,,
36,W,Jimoh Abdulmumin,475,403,72,,
