round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Marlon Prudencio,430,399,31,,
1,W,Marlon Prudencio,430,399,31,,
2,L,Rasheed Balogun,385,473,-88,,
3,L,Panupol Sujjayakorn,367,450,-83,,
4,W,Chaiyottha Manachaisit,503,476,27,,
5,L,Kian Boon Liew,427,503,-76,,
6,W,Nuti Suri,467,352,115,,
7,L,Jesse Day,347,528,-181,,
8,W,Harshan Lamabadusuriya,489,470,19,,
9,W,Samrath Singh Bhatia,517,390,127,,
10,W,Jimoh Abdulmumin,547,352,195,,
11,W,Weibin Toh,449,536,-87,,
12,L,Chaiyottha Manachaisit 2,359,434,-75,,
13,W,Austin Shin,526,504,22,,
14,W,Euclid Hui,527,344,183,,
15,L,Kian Boon Liew 2,394,549,-155,,
16,L,Charles Carneiro,419,460,-41,,
17,L,Aditya Iyengar,352,467,-115,,
18,L,Pesol Kosalakood,339,456,-117,,
19,W,Trevor Halsall,508,323,185,,
20,L,Nopparuj Tipkaew,373,428,-55,,
21,L,Rob Robinsky,396,512,-116,,
22,W,Marlon Prudencio 2,485,436,49,,
23,L,Sherwin Rodrigues,456,530,-74,,
24,W,Ryan Wee,388,461,-73,,
25,W,Rasheed Balogun 2,418,394,24,,
26,W,Euclid Hui 2,521,369,152,,
27,L,Nopparuj Tipkaew 2,442,466,-24,,
28,W,Doko Oluwatimilehin,418,377,41,,
29,W,Samuel Crispin,431,426,5,,
30,L,Sujana Somasekar,381,526,-145,,
31,L,Samuel Crispin 2,379,448,-69,,
32,L,Anthony Ikolo,335,537,-202,,
33,W,Ezinore George,465,443,22,,
34,W,Nopparuj Tipkaew 3,390,327,63,,
35,L,CharnwitS Sukhumrattanaporn,391,475,-84,,
36,L,Puttapong Moonsarn,399,453,-54,,
