round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Anthony Ikolo,16,19,-3,,
1,L,Anthony Ikolo,462,479,-17,,
1,L,Anthony Ikolo,462,479,-17,,
2,L,Siddharth Nithyanand,426,433,-7,,
3,L,Jimoh Abdulmumin,442,453,-11,,
4,W,Sanjoy Gupta,613,349,264,,
5,W,Ezinore George,438,427,11,,
6,L,Ben Schoenbrun,351,575,-224,,
7,L,Michael Gongolo,477,521,-44,,
8,L,Brian Po,323,420,-97,,
9,W,Jack Moran,461,442,19,,
10,L,Chock Heng Kong,367,493,-126,,
11,W,Siddharth Nithyanand 2,455,339,116,,
12,W,Ryan Wee,498,455,43,,
13,W,Charae Worapotpisut,498,373,125,,
14,L,Odette Rio,414,484,-70,,
15,W,Samrath Singh Bhatia,460,398,62,,
16,W,Anthony Ikolo 2,516,417,99,,
17,W,Dean Saldanha,498,434,64,,
18,W,Unknown,442,442,0,,
19,W,Siu Hean Cheah,449,364,85,,
20,L,Suyash Manchali,400,458,-58,,
21,L,Suyash Manchali 2,331,397,-66,,
22,W,Austin Shin,441,425,16,,
23,W,Natalie Zolty,419,377,42,,
24,L,Ricky Purnomo,412,485,-73,,
25,W,Ming Hui Hubert Wee 2,314,525,-211,,
26,L,Samson Okosagah,429,491,-62,,
27,W,Trevor Halsall,439,406,33,,
28,L,Akegapun Erbprasartsook,453,484,-31,,
29,W,David Webb,505,368,137,,
30,W,Charles Carneiro,506,370,136,,
31,W,Ming Hui Hubert Wee 3,429,443,-14,,
32,W,Trevor Halsall 2,509,372,137,,
33,L,Piotr Andronowski,359,470,-111,,
34,L,Trevor Halsall 3,330,502,-172,,
35,L,Anthony Ikolo 3,381,471,-90,,
36,W,William Kang,324,440,-116,,
