round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Lukeman Owolabi,20,16,4,,https://woogles.io/anno/3FDAbMnZFrDHh9qbsvERSr
1,W,Lukeman Owolabi,487,469,18,,https://woogles.io/anno/3FDAbMnZFrDHh9qbsvERSr
1,W,Lukeman Owolabi,487,469,18,,https://woogles.io/anno/3FDAbMnZFrDHh9qbsvERSr
2,W,Chaiyottha Manachaisit,505,410,95,,https://woogles.io/anno/RhyYPyRND3fAkAm8LG9yzk
3,W,Russell Honeybun,430,423,7,,
4,L,Rob Robinsky,376,420,-44,,
5,W,Natthakorn Siriwatthanaphongsa,440,393,47,,https://woogles.io/anno/VLxZ2eSJm2BuipCVoWZUtU
6,L,Panupol Sujjayakorn,394,444,-50,,https://woogles.io/anno/LVfK6bxUz3Z89vBeqEcgzU
7,W,Puttapong Moonsarn,543,361,182,,https://woogles.io/anno/2BmTXucThF264haWDPshqJ
8,L,Suyash Manchali,477,484,-7,,
9,L,Ben Schoenbrun,418,484,-66,,
10,W,Rik Kennedy,532,387,145,,
11,W,Vannitha Balasingam,536,449,87,,
12,W,David Webb,438,410,28,,
13,L,Komol Panyasophonlert,384,479,-95,,http://woogles.io/anno/2FSirMqByhTF9S34PnZqyZ
14,W,Soramet Mettaviharee,415,361,54,,http://woogles.io/anno/7K2s8HDEhMUzW6ydhj8r7v
15,W,Nigel Richards,469,414,55,,http://woogles.io/anno/KzGF5tF2gR83hiL2Puqgbj
16,L,Cameron Farlow,379,381,-2,,http://woogles.io/anno/Fux7MNoiMMB4oc9B5ds9Qx
17,W,Kian Boon Liew,558,393,165,,http://woogles.io/anno/4oM8xqsDCUnNqbYzWcA6Ra
18,L,Irfan Siddiqui,404,531,-127,,
19,W,Andrew Fisher,484,361,123,,http://woogles.io/anno/eXEbMSYXxTaKft7JsezKud
20,L,Brian Po,353,458,-105,,
21,L,Aditya Iyengar,360,450,-90,,
22,W,Ben Schoenbrun 2,456,384,72,,http://woogles.io/anno/SdVEkQCtRUSQTV9hHLWeGx
23,L,Piotr Andronowski,446,459,-13,,
24,W,Josh Watt,370,431,-61,,http://woogles.io/anno/BoSjCkuFwxxPyAuaUop8YR
25,L,Nuti Suri,409,558,-149,,
26,L,Soramet Mettaviharee 2,449,457,-8,,
27,W,David Webb 2,364,547,-183,,
28,W,Pesol Kosalakood,516,400,116,,
29,L,Akegapun Erbprasartsook,401,530,-129,,
30,W,Puttapong Moonsarn 2,405,348,57,,
31,L,Sanhanat Klanying,375,464,-89,,
32,W,Sujana Somasekar,495,436,59,,
33,W,Odette Rio,426,362,64,,
34,W,Rasheed Balogun,518,463,55,,
35,W,Cameron Farlow 2,464,394,70,,
36,W,David Webb 3,437,375,62,,
