round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Ishika Shivalingaiah,17,19,-2,,
1,L,Ishika Shivalingaiah,402,423,-21,,
1,L,Ishika Shivalingaiah,402,423,-21,,
2,L,David Eldar,437,463,-26,,
3,W,Udayan Grover,565,441,124,,
4,L,Ezinore George,442,459,-17,,
5,L,Michael Gongolo,399,430,-31,,
6,L,Euclid Hui,423,470,-47,,
7,L,Ben Schoenbrun,322,560,-238,,
8,W,Unknown,390,359,31,,
9,W,Ryan Wee,379,435,-56,,
10,L,Sanjoy Gupta,399,470,-71,,
11,W,Mike Baron,434,391,43,,
12,L,J Jeyaseelan,379,490,-111,,
13,L,Siddharth Nithyanand,406,434,-28,,
14,W,Sanjoy Gupta 2,468,445,23,,
15,L,Apirat Choomai,366,403,-37,,
16,L,Gerry Carter,462,494,-32,,
17,W,Thitipol Barameemuang,465,325,140,,
18,W,Thomson Law,486,358,128,,
19,W,Samuel Crispin,487,307,180,,
20,W,Orlet Bullock,450,317,133,,
21,L,Natthakorn Siriwatthanaphongsa,415,445,-30,,
22,W,Ishika Shivalingaiah 2,455,323,132,,
23,W,Sanjoy Gupta 3,465,389,76,,
24,W,Rik Kennedy,431,392,39,,
25,W,Nopparuj Tipkaew,555,429,126,,
26,W,Doko Oluwatimilehin,470,400,70,,
27,W,Suyash Manchali,595,370,225,,
28,L,Jakkrit Klaphajone,413,430,-17,,
29,L,Unknown,353,413,-60,,
30,W,Odette Rio,485,414,71,,
31,L,Alexander Gozali,364,451,-87,,
32,L,Suyash Manchali 2,436,489,-53,,
33,W,Akegapun Erbprasartsook,392,376,16,,
34,L,Suyash Manchali 3,371,472,-101,,
35,L,Akegapun Erbprasartsook 2,393,505,-112,,
36,W,Waseem Khatri,440,324,116,,
